Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,BldgType,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,ExterQual,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
1155,60,0,90.0,13700,0,1,0,0,0,0,0,7,6,1965,1988,1.0,288.0,1,1.0,0,1.0,454,0,410,864,0,902,918,0,1820,0,0,1,2,4,1,0,8,2,0.0,1965.0,1.0,2,492,0.0,0.0,0,60,84,0,0,273,0,0,5,2008,237313.0490550166
531,80,0,85.0,10200,0,0,0,0,0,0,0,6,5,1988,1989,0.0,219.0,0,0.0,0,3.0,783,0,678,1461,0,1509,0,0,1509,1,0,2,0,3,1,0,5,1,3.0,1988.0,0.0,2,600,0.0,0.0,0,224,0,0,0,0,0,0,8,2008,168645.4531838931
295,20,0,80.0,9600,0,0,0,0,0,0,0,6,5,1953,1953,1.0,238.0,1,1.0,0,0.0,1285,0,131,1416,0,1644,0,0,1644,1,0,1,0,3,1,1,7,2,0.0,1953.0,2.0,2,418,0.0,0.0,0,110,0,0,0,0,0,0,10,2009,171770.34986101044
962,60,0,37.0,12227,0,1,0,0,2,0,0,6,7,1977,1995,0.0,424.0,1,0.0,1,0.0,896,0,434,1330,0,1542,1330,0,2872,1,0,2,1,4,1,1,11,1,1.0,1977.0,2.0,2,619,0.0,0.0,0,550,282,0,0,0,0,0,7,2008,306836.2851129351
719,60,0,96.0,10542,0,0,0,0,0,0,0,7,5,1993,1994,0.0,651.0,0,0.0,0,1.0,1173,0,138,1311,0,1325,1093,0,2418,1,0,2,1,3,1,0,9,1,1.0,1993.0,0.0,3,983,0.0,0.0,0,250,154,216,0,0,0,0,8,2008,297550.73730924074
1060,50,0,68.5,11275,0,1,3,0,2,1,0,6,7,1932,1950,0.0,480.0,1,1.0,0,2.0,297,557,0,854,0,1096,895,0,1991,0,0,1,1,3,1,1,7,1,0.0,1977.0,1.0,2,432,0.0,2.0,0,0,0,19,0,0,0,0,3,2007,107613.11432658648
262,60,0,69.0,9588,0,1,0,0,0,0,0,8,5,2007,2007,1.0,270.0,0,2.0,0,0.0,0,0,1482,1482,0,1482,1092,0,2574,0,0,2,1,3,1,2,10,1,0.0,2007.0,2.0,3,868,0.0,0.0,0,0,148,0,0,0,0,0,11,2007,310012.1381123387
323,60,0,86.0,10380,0,1,0,0,0,0,0,7,5,1986,1987,0.0,172.0,0,1.0,0,1.0,28,1474,0,1502,0,1553,1177,0,2730,1,0,2,1,4,1,0,8,1,1.0,1987.0,2.0,2,576,0.0,0.0,0,201,96,0,0,0,0,0,8,2007,276257.60219341423
1027,20,0,73.0,9300,0,0,0,0,0,0,0,5,5,1960,1960,0.0,324.0,1,1.0,0,0.0,697,0,571,1268,0,1264,0,0,1264,1,0,1,0,3,1,1,6,2,0.0,1960.0,1.0,2,461,0.0,0.0,0,0,0,0,0,143,0,0,4,2010,162367.5319770244
110,20,0,105.0,11751,0,1,0,0,0,0,0,6,6,1977,1977,0.0,480.0,1,0.0,0,0.0,705,0,1139,1844,0,1844,0,0,1844,0,0,2,0,3,1,1,7,1,1.0,1977.0,0.0,2,546,0.0,0.0,0,0,122,0,0,0,0,0,1,2010,146163.45759698423
252,120,1,44.0,4750,0,1,3,0,0,1,3,8,5,2006,2007,1.0,481.0,0,0.0,0,1.0,1573,0,0,1573,0,1625,0,0,1625,1,1,2,0,2,1,0,5,1,0.0,2006.0,2.0,2,538,0.0,0.0,0,123,0,0,0,153,0,0,12,2007,330418.92057763645
279,20,0,107.0,14450,0,0,0,0,0,0,0,9,5,2006,2007,0.0,315.0,2,2.0,0,1.0,0,0,2121,2121,0,2121,0,0,2121,0,0,2,1,3,1,2,8,1,2.0,2007.0,2.0,3,732,0.0,0.0,0,124,98,0,0,142,0,0,5,2007,361632.0243699658
799,60,0,104.0,13518,0,0,0,0,0,0,0,9,5,2008,2009,1.0,860.0,2,2.0,0,0.0,0,0,1926,1926,0,1966,1174,0,3140,0,0,3,1,4,1,2,11,2,0.0,2009.0,2.0,3,820,0.0,0.0,0,144,78,0,0,0,0,0,7,2009,403872.0563793923
